caller_number,callee_number,timestamp,duration_seconds,cell_tower_location
9822011234,9822045678,2024-02-14 09:02:11,184,Kamptee Road Tower
9822045678,9822078901,2024-02-14 09:31:40,95,Kamptee Road Tower
9822045678,9822098765,2024-02-14 09:35:02,61,Kamptee Road Tower
9822078901,9822098765,2024-02-14 13:50:19,40,Sitabuldi Tower
9822098765,9822078901,2024-02-14 14:35:07,22,Sitabuldi Tower
9822045678,9822078901,2024-02-14 15:10:44,30,Kamptee Road Tower
9822011234,9822045678,2024-03-02 18:12:03,210,Kamptee Road Tower
9822045678,9822012345,2024-03-02 18:45:51,88,Kamptee Road Tower
9822045678,9822054321,2024-03-02 19:02:37,47,Kamptee Road Tower
9822012345,9822054321,2024-03-02 21:40:12,30,Civil Lines Tower
9822054321,9822012345,2024-03-02 23:22:05,18,Wardha Road Tower
9822011234,9822045678,2024-04-18 20:05:29,175,Kamptee Road Tower
9822045678,9822067890,2024-04-18 20:38:14,70,Kamptee Road Tower
9822067890,9822054321,2024-04-18 23:15:00,25,Manish Nagar Tower
9822054321,9822045678,2024-04-19 03:25:41,33,Manish Nagar Tower
9822078901,9876511111,2024-02-16 11:00:00,120,Sitabuldi Tower
9822012345,9876522222,2024-03-05 10:15:00,95,Civil Lines Tower
9822067890,9876533333,2024-04-01 17:40:00,60,Manish Nagar Tower
